School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Lee's Summit West,24.78,31.33,56.11,4,2,1
Webster Groves,27.87,26.84,54.7,2,3,2
Staley,20.1,32.45,52.54,9,1,3
Lee's Summit,32.46,10.47,42.94,1,23,4
Lebanon,17.32,24.68,41.99,11,5,5
Kirkwood,15.86,24.69,40.55,15,4,6
Parkway Central,24.68,14.9,39.58,5,16,7
Parkway North,16.02,21.55,37.57,14,8,8
Chaminade College Prep,22.85,14.71,37.56,6,17,9
Ft. Zumwalt East,26.03,11.05,37.08,3,22,10
Hazelwood East,22.49,14.46,36.95,7,18,11
Central (St. Joseph),18.18,18.15,36.33,10,12,12
Camdenton,12.24,23.67,35.91,24,6,13
Park Hill South,12.07,23.49,35.56,26,7,14
Park Hill,16.67,18.17,34.84,12,11,15
Fort Osage,14.07,20.04,34.11,18,9,16
Holt,12.32,17.92,30.24,23,13,17
Nixa,15.83,13.66,29.49,16,20,18
Branson,20.42,8.64,29.06,8,31,19
Raytown South,10.34,18.18,28.52,29,10,20
Rolla,12.16,15.44,27.6,25,15,21
Waynesville,16.49,9.96,26.45,13,27,22
Kickapoo,10.37,14.05,24.42,28,19,23
Neosho,13.75,10.06,23.81,20,25,24
Rockwood Summit,13.82,9.05,22.87,19,29,25
Parkview,14.5,4.68,19.18,17,37,26
Ozark,3.37,15.54,18.92,43,14,27
North Kansas City,7.35,11.12,18.47,36,21,28
Raytown,7.84,9.98,17.82,33,26,29
Oak Park,7.9,9.83,17.73,32,28,30
McCluer,13.29,3.65,16.93,21,40,31
Timberland,13.23,2.8,16.03,22,41,32
Glendale,4.69,10.37,15.06,39,24,33
Ruskin,7.6,7.28,14.87,34,34,34
Smith-Cotton,5.45,8.58,14.03,37,32,35
Winnetonka,4.0,8.89,12.89,41,30,36
Normandy Collaborative,4.62,7.32,11.94,40,33,37
Seckman,4.73,5.51,10.24,38,36,38
Riverview Gardens,11.81,-1.78,10.03,27,47,39
William Chrisman,8.42,1.39,9.81,31,42,40
Vianney,8.96,0.03,8.99,30,43,41
Washington,3.86,3.86,7.71,42,39,42
Ft. Zumwalt North,0.18,7.19,7.36,46,35,43
Parkway West,7.4,-0.14,7.27,35,44,44
Belton,-0.31,4.28,3.96,47,38,45
Jackson,-1.47,-0.67,-2.14,48,46,46
Central (Springfield),2.17,-5.58,-3.41,45,49,47
Truman,2.22,-5.82,-3.6,44,50,48
Willard,-5.47,-1.96,-7.43,49,48,49
Ft. Zumwalt South,-10.96,-0.26,-11.22,51,45,50
Poplar Bluff,-6.77,-9.18,-15.94,50,51,51
