School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,24.88,44.67,69.55,7,1,1
Blue Springs,33.26,32.23,65.5,3,2,2
Blue Springs South,36.36,24.34,60.7,2,9,3
Jefferson City,31.17,22.24,53.41,4,10,4
Ft. Zumwalt West,37.14,15.93,53.07,1,17,5
Francis Howell,27.7,24.35,52.05,6,8,6
Raymore-Peculiar,28.96,18.88,47.84,5,13,7
Hazelwood Central,18.44,27.71,46.14,15,4,8
De Smet Jesuit,18.61,25.83,44.44,14,5,9
Hickman,18.66,25.02,43.68,13,7,10
Lee's Summit North,14.11,29.57,43.67,19,3,11
Christian Brothers College,21.36,21.06,42.42,11,12,12
Liberty,24.22,16.79,41.01,8,16,13
McCluer North,21.52,18.32,39.84,10,15,14
Eureka,17.56,21.58,39.14,16,11,15
Pattonville,12.15,25.54,37.69,21,6,16
SLUH,23.29,13.97,37.26,9,19,17
Lindbergh,16.14,18.54,34.68,17,14,18
Marquette,20.83,9.72,30.56,12,23,19
Ritenour,13.88,14.94,28.83,20,18,20
Joplin,16.0,11.17,27.17,18,21,21
Lafayette (Wildwood),10.85,13.6,24.44,23,20,22
Parkway South,11.61,4.75,16.36,22,25,23
Francis Howell North,8.94,3.79,12.72,24,27,24
Hazelwood West,1.29,10.34,11.62,27,22,25
Francis Howell Central,6.74,4.58,11.32,25,26,26
Mehlville,0.19,7.29,7.49,28,24,27
Oakville,2.05,-0.32,1.74,26,30,28
Fox,-1.65,3.2,1.55,29,28,29
Troy Buchanan,-6.75,2.37,-4.38,30,29,30
Northwest (Cedar Hill),-8.86,-3.38,-12.24,31,31,31
