School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,24.88,44.67,69.55,13,1,1
Blue Springs,33.26,32.23,65.5,3,4,2
Webb City,30.76,33.54,64.29,6,2,3
Blue Springs South,36.36,24.34,60.7,2,19,4
Lee's Summit West,24.78,31.33,56.11,14,5,5
Webster Groves,27.87,26.84,54.7,9,10,6
Jefferson City,31.17,22.24,53.41,5,24,7
Ft. Zumwalt West,37.14,15.93,53.07,1,44,8
Staley,20.1,32.45,52.54,32,3,9
Kearney,23.89,28.4,52.28,19,8,10
Francis Howell,27.7,24.35,52.05,10,18,11
Carthage,26.23,25.66,51.89,11,13,12
Raymore-Peculiar,28.96,18.88,47.84,8,32,13
Hazelwood Central,18.44,27.71,46.14,37,9,14
Valle Catholic,30.25,15.78,46.03,7,47,15
Helias Catholic,24.15,21.7,45.85,17,25,16
Hannibal,22.71,22.91,45.63,24,23,17
De Smet Jesuit,18.61,25.83,44.44,35,12,18
Hickman,18.66,25.02,43.68,34,15,19
Lee's Summit North,14.11,29.57,43.67,57,7,20
Lee's Summit,32.46,10.47,42.94,4,80,21
Christian Brothers College,21.36,21.06,42.42,29,28,22
Sikeston,16.24,26.16,42.4,47,11,23
Lebanon,17.32,24.68,41.99,42,17,24
Westran,10.9,30.99,41.89,83,6,25
Macon,23.18,18.3,41.48,21,36,26
Liberty,24.22,16.79,41.01,16,42,27
Kirkwood,15.86,24.69,40.55,52,16,28
Union,24.01,15.95,39.96,18,43,29
McCluer North,21.52,18.32,39.84,28,35,30
Penney,21.74,18.05,39.79,27,40,31
Parkway Central,24.68,14.9,39.58,15,51,32
Eureka,17.56,21.58,39.14,40,26,33
Pattonville,12.15,25.54,37.69,75,14,34
Parkway North,16.02,21.55,37.57,50,27,35
Chaminade College Prep,22.85,14.71,37.56,23,52,36
SLUH,23.29,13.97,37.26,20,57,37
Ft. Zumwalt East,26.03,11.05,37.08,12,75,38
Hazelwood East,22.49,14.46,36.95,25,55,39
Harrisonville,13.76,23.0,36.76,61,22,40
Bolivar,21.85,14.54,36.4,26,54,41
Central (St. Joseph),18.18,18.15,36.33,39,39,42
Camdenton,12.24,23.67,35.91,73,20,43
Park Hill South,12.07,23.49,35.56,76,21,44
Richmond,16.09,19.33,35.42,49,31,45
Park Hill,16.67,18.17,34.84,43,38,46
Lindbergh,16.14,18.54,34.68,48,34,47
Fort Osage,14.07,20.04,34.11,58,29,48
Cassville,14.19,19.38,33.57,56,30,49
Concordia,18.39,13.87,32.26,38,58,50
Savannah,16.47,14.61,31.08,46,53,51
Marquette,20.83,9.72,30.56,30,91,52
Holt,12.32,17.92,30.24,71,41,53
Platte County,16.67,13.46,30.12,44,62,54
Nixa,15.83,13.66,29.49,53,60,55
Gateway,19.7,9.55,29.25,33,95,56
Branson,20.42,8.64,29.06,31,99,57
Ritenour,13.88,14.94,28.83,59,50,58
Central (Cape Girardeau),17.34,11.38,28.72,41,71,59
Raytown South,10.34,18.18,28.52,88,37,60
Farmington,22.96,4.83,27.78,22,130,61
Maryville,8.92,18.73,27.65,95,33,62
Rolla,12.16,15.44,27.6,74,49,63
Centralia,15.49,11.7,27.19,54,70,64
