School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Cassville,16.93,21.37,38.3,2,1,1
Maryville,15.55,19.19,34.73,3,2,2
Logan-Rogersville,19.2,15.15,34.35,1,7,3
Richmond,15.08,16.31,31.39,4,4,4
Osage,14.96,13.74,28.7,5,8,5
John Burroughs,12.77,12.78,25.55,6,10,6
Springfield Catholic,10.79,10.93,21.72,9,11,7
Oak Grove,4.8,16.72,21.52,15,3,8
Aurora,3.96,15.63,19.59,18,6,9
Boonville,3.15,16.26,19.41,19,5,10
Pleasant Hill,4.82,13.37,18.19,14,9,11
Seneca,12.62,3.99,16.61,7,22,12
Monett,4.06,10.73,14.79,17,12,13
Dexter,11.05,0.27,11.32,8,29,14
Ste. Genevieve,8.13,3.0,11.13,12,23,15
O'Hara,5.34,4.72,10.06,13,18,16
Mountain Grove,-1.79,9.14,7.35,29,13,17
Clinton,-0.24,6.07,5.83,26,16,18
Holden,8.4,-3.65,4.75,11,36,19
Eldon,2.31,2.01,4.32,20,25,20
California,-3.5,7.13,3.63,38,14,21
Lutheran North,1.62,1.66,3.28,23,28,22
Chillicothe,-1.37,4.54,3.17,28,19,23
Versailles,-1.28,4.41,3.12,27,20,24
Trinity Catholic,8.6,-6.27,2.33,10,40,25
St. Pius X (Kansas City),2.11,0.12,2.23,21,30,26
Renaissance Academy Charter,1.95,-1.85,0.1,22,32,27
Nevada,-6.55,6.17,-0.39,43,15,28
McCluer South-Berkeley,-5.61,5.07,-0.53,42,17,29
Mt. Vernon,-2.57,1.67,-0.9,31,27,30
Cardinal Ritter,-3.1,1.98,-1.12,36,26,31
Van Horn,-4.91,2.6,-2.31,41,24,32
Central (Park Hills),-1.94,-1.27,-3.21,30,31,33
Salem,-9.15,4.15,-5.0,47,21,34
Cameron,-2.61,-2.74,-5.35,32,35,35
Ava,-3.45,-1.91,-5.36,37,33,36
Priory,-2.96,-5.17,-8.13,35,38,37
Pembroke Hill,-2.68,-5.52,-8.21,33,39,38
Owensville,4.43,-12.65,-8.22,16,50,39
East Newton,-6.79,-1.94,-8.73,44,34,40
Southern Boone,-4.41,-7.08,-11.5,40,42,41
North Callaway,-3.52,-9.05,-12.57,39,44,42
Buffalo,-2.86,-10.73,-13.59,34,46,43
St. James,1.18,-15.27,-14.1,25,55,44
Lutheran South,1.49,-16.51,-15.02,24,56,45
Fredericktown,-8.16,-6.96,-15.12,46,41,46
Lincoln College Prep,-12.83,-3.89,-16.72,52,37,47
Bowling Green,-9.4,-10.43,-19.83,48,45,48
Odessa,-8.06,-13.03,-21.09,45,51,49
Imagine College Prep Charter,-11.65,-11.0,-22.65,50,47,50
Reeds Spring,-12.43,-13.86,-26.29,51,52,51
Orchard Farm,-19.37,-11.17,-30.53,54,48,52
Kennett,-9.79,-21.38,-31.17,49,58,53
Central (Kansas City),-23.8,-8.86,-32.66,57,43,54
East (Kansas City),-21.71,-14.35,-36.06,55,53,55
Fulton,-19.13,-17.36,-36.48,53,57,56
John F. Kennedy,-21.87,-14.63,-36.5,56,54,57
Central (New Madrid County),-27.3,-11.58,-38.88,59,49,58
Winfield,-27.37,-24.96,-52.33,60,59,59
Confluence Prep Academy Charter,-29.09,-25.05,-54.14,61,60,60
Wright City,-29.78,-28.98,-58.76,62,61,61
Northeast (Kansas City),-25.8,-42.03,-67.82,58,63,62
Missouri Military Academy,-37.59,-33.61,-71.21,63,62,63
